Listado de los ePub:
Abducción Cook, Robin
El Color de Más Allá del Espacio Lovecraft, H. P.
El Color Surgido del Espacio Lovecraft, H. P.
El Comite de la muerte Gordon, Noah
El complot Wallace, Irving
El Conde de Montecristo Dumas, Alejandro
El Consejo de Hierro Miéville, China
El contador de historias Rabih, Alameddine
El corazón condenado (Hellraiser) Barker, Clive
El corazón de las tinieblas Conrad, Joseph
El coronel no tiene quien le escriba García Márquez, Gabriel
El crash del 2010 Niño Becerra, Santiago
El crisol del tiempo Brunner, John
El cromosoma Calcuta Ghosh, Amitav
El crucero del Snack London, Jack
El cuaderno de Noah Sparks, Nicholas
El cuaderno dorado Lessing, Doris
El cuaderno rojo Auster, Paul
El cuarteto del Raj 01 - La joya de la corona Scott, Paul
El cuarteto del Raj 02 - El día del escorpión Scott, Paul
El cuarteto del Raj 03 - Las Torres del silencio Scott, Paul
El cuarto de goma Bloch, Robert
El Cuarto De Veronica Levin, Ira
El cuarto protocolo Forsyth, Frederick
El cuarto reino Miralles, Francesc
El cuento de navidad de Auggie Wren Auster, Paul
El cuento del Grial Troyes, Chrétien de
El cuento numero trece Setterfield, Diane
El curioso incidente del perro a media noche Haddon, Mark
El Dalai Lama Thomas, Lowell
El décimo don Johnson, Jane
El demonio de la peste Lovecraft, H. P.
El demonio en la tierra Bloch, Robert
El desierto de los tártaros Buzzati, Dino
El despertar del milenio Jensen, Jane
El Dia D Beevor, Anthony
El día del chacal Forsyth, Frederick
El día del juicio Higgins, Jack
El Diario de Bridget Jones Fielding, Helen
El dinero de Milady Collins, Wilkie
El Dios de las pequeñas cosas Roy, Arundhati
El dios más pequeño y otros relatos Del Rey, Lester
El documento R Wallace, Irving
El druida Llywelyn, Morgan
El duelo Conrad, Joseph
El efecto práctica Brin, David
El electrón es zurdo y otros ensayos científicos Asimov, Isaac
El emblema del traidor Gomez Jurado, Juan
El emperador y otros relatos Forsyth, Frederick
El Enigma de Cambises Sussman, Paul
El Enigma de París DE Santis, Pablo
El enigma de Parsifal Ludlum, Robert
El enigma del cuatro Caldwell y Thomason
El enigma Vivaldi Harris, Peter
El enigmático señor Quinn Christie, Agatha
El escándalo del Padre Brown Chesterton, Gilbert Keith
El espejismo de Dios Dawkins, Richard
El espejo de los espías Le Carré, John
El espejo del muerto Christie, Agatha
El espía que surgió del frío Le Carré, John
El Esposo Perfecto Anton, Shari
El Eternauta y otros cuentos Oesterheld, Héctor G
El Evangelio del mal Graham, Patrick
El Evangelio según Jesucristo Saramago, José
El exorcista Blatty, William Peter
El expediente Canaima Calderón Cuadrado, Reyes
El extranjero Camus, Albert
El Extraño Lovecraft, H. P.
El extraño vuelo de Richard Clayton Bloch, Robert
El fantasma de Harlot Mailer, Norman
El Fantasma De La Opera Leroux, Gaston
El Fantasma de Manhattan Forsyth, Frederick
El Faraon Gedge, Pauline
El faro de Alejandría Bradshaw, Gillian
El fascismo Payne, Stanley G.
Página 9 de 36
Libros
Nombre Autor
El fin de la infancia Clarke, Arthur C.
El fin de la Tercera Edad Tolkien, Christopher
El fin del romance Greene, Graham
El final del círculo Egeland, Tom
El final del círculo Egeland, Tom
El Fraude De La Sabana Santa Y Las Reliquias De Cristo Eslava Galán, Juan
El fugitivo King, Stephen
El fulgor de África Umbral, Francisco
El fútbol a sol y sombra Galeano, Eduardo
El Gatopardo Lampedusa, Giuseppe Tomasi De
El gaucho insufrible Bolaño, Roberto
El Girasol Evans, Richard Paul
El Golem Meyrink, Gustav
El gran espectáculo secreto Barker, Clive
El gran golpe Hammett, Dashiell
El grillo del hogar Dickens, Charles
El grito silenciado Tortajada, Ana
El Guardaespaldas Brockmann, Suzanne
El guardián del vergel McCarthy, Cormac
El Guardian Entre El Centeno Salinger Jerome, David
El guardián entre el centeno Salinger, J.D.
El halcón maltés Hammett, Dashiell
El hechicero Smith, Wilbur
El herrero de Wootton Major Tolkien, J.R.R
El hijo de RoseMary Levin, Ira
El hijo de Tarzan Burroughs, Edgar Rice
El hijo del viento Mankell, Henning
El Hobbit Tolkien, J.R.R
El hombe del traje de color castaño Christie, Agatha
El hombre bicentenario Asimov, Isaac
El hombre completo Brunner, John
El hombre de los circulos azules Vargas, Fred
El hombre de los círculos azules Vargas, Fred
El hombre demolido Bester, Alfred
El Hombre Equivocado Katzenbach, John
El hombre que despertó en el futuro Manning, Laurence
El hombre que podía suministrarnos elefantes Brunner, John
El hombre que se parecía a Napoleón Bloch, Robert
El hombre que vendió la luna Heinlein, Robert
El homúnculo Bloch, Robert
El honorable colegial Le Carré, John
El horror de Red Hook Lovecraft, H. P.
El horror oculto Lovecraft, H. P.
El horror que nos acecha Bloch, Robert
El hotel de las rocas Henry, Veronica
El hotel encantado Collins, Wilkie
El hueco Campbell, Ramsey
El huracán lleva tu nombre Bayly, Jaime
El icono sagrado Olson, Neil
El Imperio de los Dragones Massimo Manfredi, Valerio
El imperio de los lobos Grange, Jean Christophe
El imperio del sol Ballard, J. G.
El Imperio Final - Nacidos De La Bruma Sanderson, Brandon
El Imperio Romano Asimov, Isaac
El inca Vazquez Figueroa, Alberto
El increíble hombre menguante Matheson, Richard
El inferior Christie, Agatha
El Infierno Digital Kerr, Philip
El infiltrado Le Carré, John
EL INFORME DE BRODECK Claudel, Philippe
El informe pelicano Grisham, John
El Ingenioso Hidalgo Don Quijote de la Mancha Cervantes Saavedra, Miguel de
El inquisidor Sturlese, Patricio
El intermediario Grisham, John
El invencible Lem, Stanislav
El invierno de la Corona Corral, Jose Luis
El invierno de mi desazón Steinbeck, John
El invierno en Lisboa Muñoz Molina, Antonio
El Jarama Sanchez Ferlosio, Rafael
El jardín de las fieras Deaver, Jeffery
El jardin de Rama Clarke, Arthur C.
El jardinero fiel Le Carré, John
El jinete en la onda de shock Brunner, John
El jinete polaco Muñoz Molina, Antonio
El Judas de Leonardo Perutz, Leo
El judío de Shangai Calderón, Emilio
Página 10 de 36
Libros
Nombre Autor
El juego de Berlin Deighton, Len
El juego de las horas Baldacci, David
El juego de los abalorios Hesse, Hermann
El juego de Ripley Highsmith, Patricia
El juego del angel Ruiz Zafón, Carlos
El jugador Dostoyevskii, Fiodor M.
El jurado Grisham, John
El laberinto de las aceitunas Mendoza, Eduardo
El Laberinto Mágico 01 - Campo Cerrado Aub, Max
El Laberinto Mágico 02 - Campo Abierto Aub, Max
El Laberinto Mágico 03 - Campo de Sangre Aub, Max
El Laberinto Mágico 04 - Campo Francés Aub, Max
El Laberinto Mágico 05 - Campo del Moro Aub, Max
El Laberinto Mágico 06 - Campo de los almendros Aub, Max
El ladrón de días Barker, Clive
El lago Alten, Steve
El lamento de la garza, Leyendas Otori 04 Hearn, Lian
El lejano país de los estanques Silva, Lorenzo
El Leopardo de la Cumbre del Kilimanjaro Lariónova, Olga
El Librero de Varsovia O'Brien, Michael
El libro de cabecera del espia Greene, Graham y Hugh
El libro de las cosas perdidas Connolly, John
El libro de las ilusiones Auster, Paul
El Libro de los Cuentos Perdidos II Tolkien, J.R.R
El Libro de los Espiritus Kardec, Allan
El libro de los Mediums Kardec, Allan
El Libro de Rachel Amis, Martin
El libro del dia del juicio final Willis, Connie
El libro del día del Juicio final Willis, Connie
El Libro Negro De Alsophocus Lovecraft, H. P.
El lobo-hombre y otros cuentos Vian, Boris
El lobo estepario Hesse, Hermann
El loco Gibran, Khalil
El loro de Flaubert Barnes, Julian
El maestro de esgrima Pérez-Reverte, Arturo
El Manhattan perfecto Shear, Leanne y Toomey, Tracy
El Manipulador Forsyth, Frederick
El manuscrito de Dios Biedma, Juan Ramón
El mar Banville, John
El maravilloso mago de Oz Baum, Lyman Frank
El Martillo de Dios Clarke, Arthur C.
El médico Gordon, Noah
El médico de Stalingrado Konsalik, Heinz G
El Medico Del Tiempo Benson, Ann
El mensaje de los astros Brunner, John
El mensaje en la botella Sparks, Nicholas
El misterio de la casa aranda Tristante, Jerónimo
El misterio de la casa roja Milne, A. A.
El misterio de la cripta embrujada Mendoza, Eduardo
El misterio de la guía de ferrocarriles Christie, Agatha
El misterio de la isla de Tokland Gisbert, Joan Manuel
El Misterio de la Laguna Negra Cook, Thomas H.
El misterio de la Vigen de Guadalupe Benítez, J. J
El misterio de las siete esferas Christie, Agatha
El misterio de Salem's Lot King, Stephen
El misterio de Sans-Soucis Christie, Agatha
El misterio de Sittaford Christie, Agatha
El misterio del cuarto amarillo Leroux, Gastón
El misterio del tren azul Christie, Agatha
El Misterioso Caso De Styles Christie, Agatha
El Mocho Donoso, José
El modelo de Pickman Lovecraft, H. P.
El mono desnudo Morris, Desmond
El monstruo subatómico Asimov, Isaac
El morador de las tinieblas Lovecraft, H. P.
El mozárabe Sanchez Adalid, Jesús
El mundo Millás, Juan José
El mundo clásico Lane Fox, Robin
El Mundo De Sofía Gaarder, Jostein
El mundo ha vivido equivocado Fontanarrosa, Roberto
El mundo iluminado Mastretta, Angeles
El mundo y sus Demonios Sagan, Carl
El Navegante West, Morris
El negociador Frederick Forsyth
El niño 44 Smith, Tom Rob
El niño asombrado Rabinad, Antonio
Página 11 de 36
Libros
Nombre Autor
El niño con el pijama de rayas Boyne, John
El niño de los caballos Isaacson, Rupert
El Nombre De La Rosa Eco, Umberto
El nombre del viento Rothfuss, Patrick
El Nombre que Ahora Digo Soler, Antonio
El noveno círculo Delalande, Arnaud
El noveno círculo Llobera, Fernando S
El número de Dios Corral, Jose Luis
El número de la bestia Heinlein, Robert
El observatorio Connelly, Michael
El Ocho Neville, Katherine
El ojo de fuego Perdue, Lewis
El ojo implacable Bloch, Robert
El omnibus perdido Steinbeck, John
El orden natural de las cosas Antunes, António Lobo
El origen de las especies Darwin, Charles
El origen perdido Asensi, Matilde
El oro de los diosess Danicken, Erich Von
El oro de los Incas Cussler, Clive
El oro de Tomás Vargas Allende, Isabel
El oro y la ceniza Abecassis, Eliette
El Oso y el Dragon 1 Clancy, Tom
El Oso y el dragon 2 Clancy, Tom
El otoño del Patriarca García Márquez, Gabriel
El Oxford de Lyra Pullman, Philip
El Oxford de Lyra - Anotaciones al Mapa Pullman, Philip
El Oxford de Lyra - Mapa Pullman, Philip
El pabellón de las lagrimas Kimura, Rei
El Padrino Puzo, Mario
El pais de las risas Carroll, Jonathan
El país de las últimas cosas Auster, Paul
El pais del miedo Rosa, Isacc
El Palacio Ruiz Zafón, Carlos
El Palacio de la Luna Auster, Paul
El palacio de los sueños Kaderé, Ismaíl
El pantano de la luna Lovecraft, H. P.
El pasajero clandestino Simenon, Georges
El pasillo de la muerte King, Stephen
El pedestal de las estatuas Gala, Antonio
El péndulo de foucault Eco, Umberto
El penultimo sueño Becerra, Angela
El penúltimo sueño Becerra, Ángela
El peor remedio Leon, Donna
El peregrino secreto Le Carré, John
El perfume - Historia de un asesino Süskind, Patrick
El plan infinito Allende, Isabel
El planeta misterioso White, George H
El Planeta Que No Estaba Asimov, Isaac
El pony colorado Steinbeck, John
El príncipe de la niebla Ruiz Zafón, Carlos
El príncipe destronado Delibes, Miguel
El principio antropico Hawking, Stephen
El principio antrópico Heidmann, Jean
El Principito Exupery, Antoine De Saint
El profesor McCourt, Frank
El proyecto del hombre lobo Simak, Clifford D.
El psicoanalista Katzenbach, John
El pudding de Navidad Christie, Agatha
El puente de Alcántara - 1 Baer, Frank
El puente de Alcántara - II Baer, Frank
El puente de Aviñón Mielke, Thomas R.P
El Puño de Dios Frederick Forsyth
El que cierra el camino Bloch, Robert
El Quijote como juego Torrente Ballester, Gonzalo
El quinto día Schatzing, Frank
El quinto jinete Lapierre, Dominique y Collins, Larry
El Rabino Gordon, Noah
El rebaño ciego Brunner, John
El reflejo de las palabras Abdolah, Kader
El refugio Deveraux, Jude
El regreso de Tarzan Burroughs, Edgar Rice
El reino de los dragones 01 - Dragones de fuego Knaak, Richard A
El reino de los dragones 02 - Dragones de hielo Knaak, Richard A
El reino de los dragones 03 - El devastador Knaak, Richard A
El reino de los dragones 04 - Caballo Oscuro Knaak, Richard A
El reino de los dragones 05 - El Dragón de Cristal Knaak, Richard A
Página 12 de 36
Libros
Nombre Autor
El reino del dragón de oro Allende, Isabel
El resplandor King, Stephen
El resurgir de la Atlántida Greanias, Thomas
El retorno de los brujos Pauwels y Bergier
El retorno del profesor de baile Mankell, Henning
El retrato de Rose Madder King, Stephen
El Rey de Amarillo Chambers, Robert W.
El rey de los pleitos Grisham, John
El sabueso Lovecraft, H. P.
El salón de ámbar Asensi, Matilde
El salón dorado Wallace, Irving
El sari rojo Moro, Javier
El sastre de Panama Le Carré, John
El secreto Donna Tartt
El secreto de Chimneys Christie, Agatha
El secreto de la porcelana Calderón, Emilio
El secreto de los Assassini Escobar, Mario
El secreto de los oráculos Vandenberg
El secreto de Mona Lisa Kalogridis, Jeanne
El secreto de Nag Hammadi Malarkey, Tucker
El secreto de Sarah Collins, Wilkie
El secreto del Padre Brown Chesterton, Gilbert Keith
El secreto del universo Asimov, Isaac
El sendero de los nidos de araña Calvino, Italo
El señor de las moscas Golding, William
El señor de los anillos 01 - La Comunidad del Anillo Tolkien, J.R.R
El señor de los anillos 02 - Las Dos Torres Tolkien, J.R.R
El señor de los anillos 03 - El Retorno del Rey Tolkien, J.R.R
El señor de los muertos Holland, Tom
El señor presidente Asturias, Miguel Angel
El séptimo papiro Smith, Wilbur
El ser en el umbral Lovecraft, H. P.
El significado de la noche Cox, Michael
El Silmarillion Tolkien, J.R.R
El símbolo del cobre Fox, Katia
El símbolo perdido Brown, Dan
El socio Grisham, John
El Sol brilla luminoso Asimov, Isaac
El sol en esplendor- La guerra de las rosas I kay Penman, Sharon
El sótano Laymon, Richard
El sudario Foglia, Leonardo y Richards, David
El suelo del Ruiseñor, Leyendas Otori 01 Hearn, Lian
El sueño de Hipatia Calvo Poyato, Jose
El sueño eterno Chandler, Raymond
El susurrador en la oscuridad Lovecraft, H. P.
El talento de Mr. Ripley Highsmith, Patricia
El Talismán King, Stephen y Straub, Peter
El tapiz del vampiro McKee Charnas, Suzy
El temible Blott Sharpe, Tom
El templo Lovecraft, H. P.
El templo del crimen Grant, Maxwell
El Tercer Lado De Los Ojos Faletti, Giorgio
El tercer secreto Berry, Steve
El tercero a partir del sol Matheson, Richard
El terrible anciano Lovecraft, H. P.
El Terror Simmons, Dan
El tesoro de Alejandría Cussler, Clive
El tesoro de Montsegur Burnham, Sophy
El tesoro de Morgan Margerit, Robert
El Tesoro del Khan Cussler, Clive
El testamento Grisham, John
El testamento de Judas Easterman, Daniel
El testamento de San Juan Benítez, J. J
El Testamento del Pescador César, Vidal
El testamento final Bourne, Sam
El testamento maya Alten, Steve
El tiempo de la noche Sloane, William
El tiempo de los lobos Cruz Smith, Martin
El tiempo escondido Barrero, Joaquín M.
El tirano Massimo Manfredi, Valerio
El topo Le Carré, John
El traidor del siglo Le Carré, John
El triángulo del Pacífico Cussler, Clive
El triunfo de la fundación Brin, David
El Tulipán Negro Dumas, Alejandro
El Túnel Sabato, Ernesto
Página 13 de 36
Libros
Nombre Autor
El Túnel del Tiempo Leinster, Murray
El Tunel en el Espacio Heinlein, Robert
El último adiós Higgins Clark, Mary
El último catón Asensi, Matilde
El último coyote Connelly, Michael
El último crimen de Pompeya Calderón, Emilio
El ultimo día de la creación Jeschke, Wolfgang
El último día de la guerra Priest, Christopher
El último Dickens Pearl, Matthew
El Último Don Puzo, Mario
El último encuentro Marai, Sándor
El último gran amor Buck, Pearl S.
El último hombre solitario Brunner, John
El último Judío Gordon, Noah
El último jurado Grisham, John
El último merovingio Hougan, Jim
El ultimo partido Grisham, John
El último patriarca El Hachmi, Najat
El ultimo puente Erikson, Steven
El ultimo ritual Sigurardottir, Yrsa
El último ritual Sigurdardóttir, Yrsa
El último Trayecto de Horacio Dos Mendoza, Eduardo
El undécimo mandamiento Archer, Jeffrey
El universo en una cáscara de nuez Hawking, Stephen
El urinario Silva, Lorenzo
El Valle de los Leones Follett, Ken
El valle largo Steinbeck, John
El valor de educar Savater, Fernando
El vampiro en mis sueños Wilde, Terry Lee
El vampiro estelar Bloch, Robert
El vatidico 01 - Aprendiz de asesino Robin, Hobb
El vatidico 02 - La diplomacia del asesino Robin, Hobb
El vatidico 03 - Asesino real Robin, Hobb
El vatidico 04 - La fragilidad del asesino Robin, Hobb
El vatidico 05 - La búsqueda del asesino Robin, Hobb
El vatidico 06 -La senda del asesino Robin, Hobb
El vellocino de oro Graves, Robert
El verano del Lobo Rojo West, Morris
El veredicto Connelly, Michael
El viaje a la felicidad Punset, Eduardo
El viaje al amor Punset, Eduardo
El viajero Jennings, Gary
El viejo y el mar Hemingway, Ernest
El viento de la nada Ballard, J. G.
El viento del sol Clarke, Arthur C.
El vínculo del cuchillo 01 - Encantamiento McMaster Bujold, Lois
El violín del diablo Gelinek, Joseph
El viudo Lovel Thackeray, William M.
El Zahir Coelho, Paulo
El zorro Allende, Isabel
Elantris Sanderson, Brandon
Elemental, querido Chaplin Marín, Rafael
Elenium 01 - El trono de diamante Eddings, David
Elenium 02 - El caballero del rubí Eddings, David
Elenium 03 - La rosa de Zafiro Eddings, David
Elizabeth Costello Coetzee, J. M.
Ella, Dracula Garcia Sanchez, Javier
Ellas mismas. Mujeres que han hecho historia Alvarez, Maria Teresa
Elric de Melniboné 1 - Elric de Melniboné Moorcock, Michael
Elric de Melniboné 2 - La fortaleza de la perla Moorcock, Michael
Elric de Melniboné 3 - Marinero de los mares del destino Moorcock, Michael
Elric de Melniboné 4 - El misterio del lobo blanco Moorcock, Michael
Elric de Melniboné 5 - La Torre Evanescente Moorcock, Michael
Elric de Melniboné 6 - La venganza de la Rosa Moorcock, Michael
Elric de Melniboné 7 - La maldición de la Espada Negra Moorcock, Michael
Elric de Melniboné 8 - Portadora de Tormentas Moorcock, Michael
Emily L. Duras, Marguerite
Eminencia West, Morris
Emma Austen, Jane
En América Sontag, Susan
En ausencia de Blanca Muñoz Molina, Antonio
En brazos de la mujer madura Vizinczey, Stephen
En busca de la ciudad del sol poniente Lovecraft, H. P.
En busca de la edad de oro Sierra, Javier
En busca del misterio Jiménez del Oso, Fernando
En busca del tiempo perdido Proust, Marcel
Página 14 de 36
Libros
Nombre Autor
En busca del tiempo perdido 1 - Por el camino de Swann Proust, Marcel
En busca del tiempo perdido 2 - A la sombra de las muchachas en flor Proust, Marcel
En busca del tiempo perdido 3 - El mundo de Guermantes Proust, Marcel
En busca del tiempo perdido 4 - Sodoma y Gomorra Proust, Marcel
En busca del tiempo perdido 5 - La prisionera Proust, Marcel
En busca del tiempo perdido 6 - La fugitiva Proust, Marcel
En busca del tiempo perdido 7 - El tiempo recobrado Proust, Marcel
En busca del unicornio Eslava Galán, Juan
En casa de los Krull Simenon, Georges
En costas extrañas Powers, Tim
En el blanco Follett, Ken
En el hotel Bertram's Christie, Agatha
En el nombre del hombre Brunner, John
En el primer círculo Solzhenitsyn, Aleksandr
En el sótano Campbell, Ramsey
En la Cripta Lovecraft, H. P.
En la estacion de engalanar los pozos Brunner, John
En la Noche de los Tiempos Lovecraft, H. P.
En las estrellas Brunner, John
En las montañas de la locura Lovecraft, H. P.
En las Profundidades Clarke, Arthur C.
En lucha incierta Steinbeck, John
En un lugar de África Zweig, Stefanie
En un planeta desierto Leinster, Murray
Encantamiento Scott Card, Orson
Enciclopedia origami 1 Anonimo
Enciclopedia origami 2 Anonimo
Enciclopedia origami 3 Anonimo
Ender 1 - El juego de Ender Scott Card, Orson
Ender 2 - La voz de los muerto Scott Card, Orson
Ender 3 - Ender el Xenocida Scott Card, Orson
Ender 4 - Hijos de la mente Scott Card, Orson
Ender 5 - La sombra de Ender Scott Card, Orson
Ender 6 - La sombra del hegemon Scott Card, Orson
Ender 7 - Marionetas de la sombra Scott Card, Orson
Ensayo sobre la ceguera Saramago, José
Ensayo sobre la lucidez Saramago, José
Entre las montañas Lippi, Rosina
Entre limones Stewart, Chris
Epidemia Cook, Robin
Epitafio de un asesino. Corrales, Antonia
Epitafio para un señorito Barrios, Manuel
Erekose 01 - El campeón eterno Moorcock, Michael
Erekose 02 - Crónicas del campeón eterno Moorcock, Michael
Ernest Hemingway - Adiós a las armas Hemingway, Ernest
Ernest Hemingway - Las nieves del Kilimanjaro Hemingway, Ernest
Escipión el Africano 01 Posteguillo, Santiago
Escipión el Africano 02 Posteguillo, Santiago
Escipión el Africano 03 Posteguillo, Santiago
Escoria Welsh, Irvine
Escritos autobiográficos Calvino, Italo
Esencia oscura Powers,Tim
Espadas como labios Aleixandre, Vicente
España 1936-1950, muerte y resurrección de la novela. Delibes, Miguel
España 1936-1950: Muerte y resurección de la novela Delibes, Miguel
Espartaco Fast, Howard
Espartaco, la rebelión de los esclavos Gallo, Max
Espejo mortal Koontz, Dean R
Esperando a Robert Capa Fortes, Susana
Espia de Dios Gomez Jurado, Juan
Estado de miedo Crichton, Michael
A este lado del paraiso Scott Fitzgerald, Francis
Estos mataron la paz Blaschke, Jorge
Estrella Distante Bolaño, Roberto
Estrella polar Cruz Smith, Martin
Estuche de muerte Sontag, Susan
Eugenia Grandet Balzac, Honoré de
Eugenio Oneguin Pushkin, Aleksandr S.
Eva al desnudo Morgan, Elaine
Eva Luna Allende, Isabel
Experimento Darnton, John
Extraños en un tren Highsmith, Patricia
Factor de humanidad. Sawyer, Robert J.
Factotum Buckowski, Charles
Falsa memoria Koontz, Dean R
Fan Club Wallace, Irving
Página 15 de 36
Libros
Nombre Autor
Fantasmas Auster, Paul
Fantasmas Koontz, Dean R
Fantasmas Straub, Peter
Fantasmas del pasado Sparks, Nicholas
Faraón Fèvre, Francis
Fases de gravedad Simmons, Dan
Fausto Goethe, Johan Wolfgang
Félix de Lusitania Sánchez Adalid, Jesús
Fetish Moss, Tara
Ficciones Borges, Jorge Luis
Fiebre Cook, Robin
Fiesta Hemingway, Ernest
Filo Olguín, Sergio S
Fjällbacka 2 - Los gritos del pasado Läckberg, Camilla
Flashforward (Recuerdos del futuro) Sawyer, Robert J.
Forastero en tierra extraña Heinlein, Robert
Fotosintesis Asimov, Isaac
Frankestein Desencadenado Aldiss, Brian W.
Fuego frío Koontz, Dean R
Fuego latente Forrellad, Lluisa
Fuego Persa Holland, Tom
Fuentes del paraíso Clarke, Arthur C.
Fuga sin fin Roth, Josep
Fundación 1 - Fundación Asimov, Isaac
Fundación 2 - Fundacion e Imperio Asimov, Isaac
Fundación 3 - Segunda fundacion Asimov, Isaac
Fundación 4 - Los limites de la fundación Asimov, Isaac
Fundación 5 - Fundación y Tierra Asimov, Isaac
Fundación 6 - Preludio A La Fundación Asimov, Isaac
Fundación 7 - Hacia La Fundación Asimov, Isaac
Furia Rushdie, Salman
Gabriela clavo y canela Amado, Jorge
Galapagos Vonnegut, Kurt
Gato mágico Strieber, Whitley
General SS Hassel, Sven
Gente de la ciudad Edwards, Jorge
Geralt de Rivia 01 - El Ultimo Deseo Sapkowski, Andrzej
Geralt de Rivia 02 - La Espada del Destino Sapkowski, Andrzej
Geralt de Rivia 03 - La Sangre de Los Elfos Sapkowski, Andrzej
Geralt de Rivia 04 -Tiempo de Odio Sapkowski, Andrzej
Geralt de Rivia 05 - Bautismo de Fuego Sapkowski, Andrzej
Geralt de Rivia 06 - La Torre de la Golondrina Sapkowski, Andrzej
Gestapo Hassel, Sven
Ghostgirl Hurley, Tonya
Ginko. la primera doctora Watanabe, Jun'ichi
Gomorra Saviano, Roberto
Gotan Gelman, Juan
Grandes Esperanzas Dickens, Charles
Grandes Ideas De La Ciencia Asimov, Isaac
Grandeza y decadencia de César Birotteau Balzac, Honoré de
Guerra Mundial Z Brooks, Max
Guía de la Biblia Antiguo Testamento Asimov, Isaac
Guia De La Biblia Nuevo Testamento Asimov, Isaac
Guía del autoestopista galáctico Adams, Douglas
Gunnarstranda & Frølich 5 - La muerte en una noche de verano Dalh, K.O.
Gunnarstranda & Frølich 6 - Un muerto en el escaparate Dalh, K.O.
Hacia cero Christie, Agatha
Hacia rutas salvajes Krakauer, Jon
Halcón Jennings, Gary
Hambre asesina Schatzing, Frank
Hannibal Lecter 01 - El Dragón Rojo Harris, Thomas
Hannibal Lecter 02 - El Silencio de los Inocentes Harris, Thomas
Hannibal Lecter 03 - Hannibal Harris, Thomas
Harry Dresden 01 - Tormenta Butcher, Jim
Harry Dresden 02 - Luna llena Butcher, Jim
Harry Potter 1 - Harry Potter y la piedra filosofal Rowling, J. K.
Harry Potter 2 - Harry Potter y la cámara secreta Rowling, J. K.
Harry Potter 3 - Harry Potter y el prisionero de Azkaban Rowling, J. K.
Harry Potter 4 - Harry Potter y el cáliz de fuego Rowling, J. K.
Harry Potter 5 - Harry Potter y la orden del fénix Rowling, J. K.
Harry Potter 6 - Harry Potter y el príncipe mestizo Rowling, J. K.
Harry Potter 7 - Harry Potter y las reliquias de la muerte Rowling, J. K.
Hasta en los Mares Lovecraft, H. P.
¿Hay Alguien Ahi? Asimov, Isaac
Hechicera Lowell, Elizabeth
Henry y June Nin, Anaïs
Página 16 de 36
Libros
Nombre Autor
Herbert West, Reanimador Lovecraft, H. P.
Herzog Bellow, Saul
Higiene del asesino Nothomb, Amelie
Hija de la fortuna Allende, Isabel
Hija de Marte Heinlein, Robert
Hijos de la ira Alonso, Damaso
Hijos de los hombres James, P.D.
Hipnos Lovecraft, H. P.
Historia de dos ciudades Dickens, Charles
Historia de España contada para escepticos Eslava Galán, Juan
Historia de Israel Bright
Historia de Israel - Mapas Bright
Historia de la iglesia Hertling, Ludwig
Historia de la iglesia - I Lortz, Joseph
Historia de la Iglesia - II Lortz, Joseph
Historia de los egipcios Asimov, Isaac
Historia de los griegos Montanelli, Indro
Historia de los reyes de Britania Monmouth, Geoffrey de
Historia de O Réage, Pauline
Historia de Roma Montanelli, Indro
Historia de una maestra Aldecoa, Josefina
Historia Del Rey Arturo García Gual, Carlos
Historia Secreta de Isabel de Baviera Sade, Marqués de
Historia universal Asimov: El Imperio Romano Asimov, Isaac
Historia universal Asimov: La República Romana Asimov, Isaac
Historias de Almanaque Brecht, Bertol
Historias de la Jungla Burroughs, Edgar Rice
Historias de perros Herriot, James
Historias Fantásticas King, Stephen
Históricamente incorrecto Sevillia, Jean
Histrión del espacio Brunner, John
Hogueras espectrales Koontz, Dean R
Hoja de niggle Tolkien, J.R.R
Hombre y Dios Alonso, Damaso
Hongos de Yuggoth Lovecraft, H. P.
Horizontes perdidos Hilton, James
Horror en el museo Lovecraft, H. P.
Hotel Hailey, Arthur
Hoy escogemos rostros Zelazny, Roger
Huérfanos del mal D'Orves D'estienne, Nicolas
Huyendo de Venus Burroughs, Edgar Rice
Hyperion 01 - Hyperion Simmons, Dan
Hyperion 02 - La caída de Hyperion Simmons, Dan
Hyperion 03 - Endymion Simmons, Dan
Hyperion 04 - El ascenso de Endymion Simmons, Dan
Hyperion 05 - Huérfanos de la Hélice Simmons, Dan
Iacobus Asensi, Matilde
Ilion 1 - El Asedio Simmons, Dan
Ilion 2 - La rebelión Simmons, Dan
Ilusiones Bach, Richard
Imaginaciones Horribles Leiber, Fritz
Imperio Massimo Manfredi, Valerio
Imperium Harris, Robert
Imprimatur Monardi, Rita y Scorti, Francesco
Inés del alma mía Allende, Isabel
Infancia Coetzee, J. M.
Infierno grande Martínez, Guillermo
Información sobre el Rey Arturo y su entorno histórico Anonimo
Inocencia tragica Christie Agatha
Insomnio King, Stephen
Intensidad Koontz, Dean R
Intriga en Bagdad Christie, Agatha
Introduccion A La Ciencia (Vol I) Asimov, Isaac
Introduccion A La Ciencia (Vol II) Asimov, Isaac
Invasión Cook, Robin
Inventario general de insultos Celdrán Gomariz, Pancracio
Invierno En Eden Harrison, Harry
Iron John Bly, Robert
Islas A La Deriva Hemingway, Ernest
It King, Stephen
Iturri y MacHor 02 - Los crímenes del número primo Calderón Cuadrado, Reyes
J de juicio Grafton, Sue
Jaque mate Archer, Jeffrey
