Listado de los ePub:
Abducción Cook, Robin
Ciudad Marshall Smith, Michael
Ciudad de Cristal Auster, Paul
Ciudad de ilusiones LeGuin, Ursula K
Civilizaciones Extraterrestres Asimov, Isaac
Clan Ya Ya Wells, Rebecca
Claro de luna Roberts, Nora
Claro de Tierra Clarke, Arthur C.
Clave, Red Rabbit Clancy, Tom
Clemencia Altamirano, Ignacio Manuel
Código Génesis Case, John
Colapso Diamond, Jared
Colección de arena Calvino, Italo
Cometas en el cielo Hosseini, Khaled
Como Descubrimos Los Numeros Asimov, Isaac
Como en los viejos tiempos Sawyer, Robert J.
Como un Dios Bloch, Robert
Con la hierba de almohada, Leyendas Otori 02 Hearn, Lian
Conan Howard, Robert E.
Conan de Aquilonia Howard, Robert E.
Conan de las islas Howard, Robert E.
Conan el Aventurero Howard, Robert E.
Conan el bucanero Howard, Robert E.
Conan el cimmerio Howard, Robert E.
Conan el Guerrero Howard, Robert E.
Conan el pirata Howard, Robert E.
Conan el Usurpador Howard, Robert E.
Conan el vagabundo Howard, Robert E.
Conan el vengador Howard, Robert E.
Cónclave Pazzi, Roberto
Confesiones de un bribón Collins, Wilkie
Constantinopla, El imperio olvidado Asimov, Isaac
Contacto Sagan, Carl
Contagio Cook, Robin
Continúan los crimenes en Roma Calderón, Emilio
Contrato de Dios Gomez Jurado, Juan
Corazón cuarteado Nin, Anaïs
Corazón de piedra verde Madariaga, Salvador de
Corazón tan blanco Marias, Javier
Corazones perdidos Konsalik, Heinz G
Córdoba de los Omeyas Muñoz Molina, Antonio
Corpore insepulto Palliser, Charles
Corriente de conciencia Sawyer, Robert J.
Corum 01 - El caballero de las espadas Moorcock, Michael
Corum 02 - La reina de las espadas Moorcock, Michael
Corum 03 - El rey de las espadas Moorcock, Michael
Corum 04 - El toro y la lanza Moorcock, Michael
Cosecha De Mujeres Valdez, Diana W.
Cosecha roja Hammett, Dashiell
Cosmo Benford, Gregoy
Crepúsculo 1 - Crepúsculo Meyer, Stephenie
Crepúsculo 2 - Luna Nueva Meyer, Stephenie
Crepúsculo 3 - Eclipse Meyer, Stephenie
Crepúsculo 4 - Amanecer Meyer, Stephenie
